data_i;cod_staz;cod_aggr;tmxgg;cl_tmxgg;tmngg;cl_tmngg;tmdgg;tmdgg1;deltagg;day_gelo;cl_tist;t00;t01;t02;t03;t04;t05;t06;t07;t08;t09;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23
2021-02-02 00:00:00;6660;4;((24, 1), 11.9, 1.3, 9.4, '2021-02-02T13:00:00');;((24, 1), 7.3, 1.2, 8.8, '2021-02-02T19:00:00');;((24, 1), 9.1, 1.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-03 00:00:00;6660;4;((24, 1), 18.1, 4.3, 11.0, '2021-02-03T13:00:00');;((24, 1), 5.1, 4.1, 9.7, '2021-02-03T07:00:00');;((24, 1), 10.3, 4.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-04 00:00:00;6660;4;((24, 1), 19.7, 5.1, 11.4, '2021-02-04T12:00:00');;((24, 1), 5.2, 4.7, 10.1, '2021-02-04T07:00:00');;((24, 1), 10.8, 4.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-05 00:00:00;6660;4;((24, 1), 16.7, 3.7, 10.7, '2021-02-05T12:00:00');;((24, 1), 4.7, 3.6, 9.7, '2021-02-05T07:00:00');;((24, 1), 10.2, 3.7);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-06 00:00:00;6660;4;((24, 1), 14.6, 1.5, 11.7, '2021-02-06T14:00:00');;((24, 1), 10.0, 1.2, 11.2, '2021-02-06T23:00:00');;((24, 1), 11.4, 1.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-07 00:00:00;6660;4;((24, 1), 19.8, 3.7, 13.6, '2021-02-07T12:00:00');;((24, 1), 8.8, 3.2, 12.6, '2021-02-07T07:00:00');;((24, 1), 13.1, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-08 00:00:00;6660;4;((24, 1), 17.6, 2.1, 13.4, '2021-02-08T15:00:00');;((24, 1), 8.2, 2.3, 12.1, '2021-02-08T06:00:00');;((24, 1), 12.7, 2.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-09 00:00:00;6660;4;((24, 1), 17.1, 2.5, 12.9, '2021-02-09T14:00:00');;((24, 1), 9.6, 2.4, 11.8, '2021-02-09T05:00:00');;((24, 1), 12.3, 2.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-10 00:00:00;6660;4;((24, 1), 18.2, 3.2, 13.2, '2021-02-10T13:00:00');;((24, 1), 8.5, 3.0, 11.7, '2021-02-10T07:00:00');;((24, 1), 12.4, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-11 00:00:00;6660;4;((24, 1), 16.0, 3.6, 10.2, '2021-02-11T12:00:00');;((24, 1), 4.3, 3.5, 8.9, '2021-02-11T07:00:00');;((24, 1), 9.5, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
