data_i;cod_staz;cod_aggr;prec24;cl_prec24;prec01;prec06;cl_prec06;prec12;cl_prec12;ggneve;storm;ggstorm
2021-09-10 00:00:00;6660;4;((24, 1), 0.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.4, '2021-09-10T18:00:00');((24, 1), 0.8, '2021-09-10T18:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-09-10T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-11 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-11T00:00:00');((24, 1), 0.0, '2021-09-11T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-11T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-12 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-12T00:00:00');((24, 1), 0.0, '2021-09-12T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-12T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-13 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-13T00:00:00');((24, 1), 0.0, '2021-09-13T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-13T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-14 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-14T00:00:00');((24, 1), 0.0, '2021-09-14T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-14T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-15 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-15T00:00:00');((24, 1), 0.0, '2021-09-15T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-15T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-16 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-16T00:00:00');((24, 1), 0.0, '2021-09-16T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-16T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-17 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-17T00:00:00');((24, 1), 0.0, '2021-09-17T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-17T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-18 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-18T00:00:00');((24, 1), 0.0, '2021-09-18T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-18T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-19 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-19T00:00:00');((24, 1), 0.0, '2021-09-19T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-19T00:00:00');(2, 0, 0, 0, 0, 0);;;
