data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-03-14 00:00:00;6660;4;((24, 1), 58.6, 15.9, (None, None), 81.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-15 00:00:00;6660;4;((24, 1), 61.8, 16.4, (None, None), 87.0, 34.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-16 00:00:00;6660;4;((24, 1), 67.1, 8.2, (None, None), 80.0, 50.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-17 00:00:00;6660;4;((24, 1), 66.8, 14.2, (None, None), 85.0, 41.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-18 00:00:00;6660;4;((24, 1), 84.7, 12.4, (None, None), 100.0, 62.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-19 00:00:00;6660;4;((24, 1), 78.1, 13.6, (None, None), 94.0, 51.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-20 00:00:00;6660;4;((24, 1), 68.6, 18.2, (None, None), 94.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-21 00:00:00;6660;4;((24, 1), 74.2, 12.3, (None, None), 95.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-22 00:00:00;6660;4;((24, 1), 63.9, 8.2, (None, None), 82.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-23 00:00:00;6660;4;((24, 1), 52.0, 7.6, (None, None), 67.0, 44.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-24 00:00:00;6660;4;((24, 1), 57.6, 12.2, (None, None), 77.0, 41.0);;;;;;;;;;;;;;;;;;;;;;;;;;
